,ACTIONS,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,
ESTADOS,acht,drei,ein,elf,fünf,hundert,neun,sech,sechs,sieb,sieben,ssig,tausend,und,vier,zehn,zig,zwan,zwei,zwölf,$,S,Z1,Z2,Z34,ZS,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,U
0,s32,s18,s16,s23,s31,s27,s33,s25,s19,s26,s20,,s28,,s30,s22,,s4,s17,s24,,1,2,3,21,5,6,7,8,9,10,29,11,12,13,14,15
1,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,
2,,,,,,s27,,,,,,,s28,s36,,,,,,,r( S -> Z1 ),,,,,,34,35,,,,,,,,,
3,,,,,,s27,,,,,,,s28,,,,,,,,r( S -> Z2 ),,,,,,38,37,,,,,,,,,
4,,,,,,,,,,,,,,,,,s39,,,,r( S -> zwan ),,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,s40,s41,,,,r( S -> ZS ),,,,,,,,,,,,,,,,
6,s32,s18,s16,s23,s31,,s33,s25,s19,s26,s20,,,,s30,s22,,s47,s17,s24,r( S -> Z5 ),,42,43,21,46,,,44,45,,,,,,,48
7,s32,s18,s16,s23,s31,s27,s33,s25,s19,s26,s20,,,,s30,s22,,s47,s17,s24,r( S -> Z6 ),,49,50,21,46,55,,51,52,53,,54,,,,48
8,,,,,,,,,,,,,s28,,,,,,,,r( S -> Z7 ),,,,,,,56,,,,,,,,,
9,,,,,,,,,,,,,s29,,,,,,,,r( S -> Z8 ),,,,,,,57,,,,,,,,,
10,s32,s18,s16,s23,s31,,s33,s25,s19,s26,s20,,s30,,s30,s22,,s47,s17,s24,r( S -> Z9 ),,58,59,21,46,,62,60,61,,,,,,,48
11,,,,,,,,,,,,,s31,,,,,,,,r( S -> Z11 ),,,,,,,63,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,r( S -> Z12 ),,,,,,,,,,,,,,,,
13,s32,s18,s16,s23,s31,s27,s33,s25,s19,s26,s20,,,,s30,s22,,s47,s17,s24,r( S -> Z13 ),,64,65,21,46,55,,66,67,68,,69,,,,48
14,,,,,,,,,,,,,,,,,,,,,r( S -> Z14 ),,,,,,,,,,,,,,,,
15,s32,s73,,,s31,,s33,s25,,s26,,,,,s30,,,s47,,,r( S -> U ),,,,71,72,,,70,,,,,,,,
16,,,,,,r( Z1 -> ein ),,,,,,,r( Z1 -> ein ),r( Z1 -> ein ),,,,,,,r( Z1 -> ein ),,,,,,,,,,,,,,,,
17,,,,,,r( Z1 -> zwei ),,,,,,,r( Z1 -> zwei ),r( Z1 -> zwei ),,,,,,,r( Z1 -> zwei ),,,,,,,,,,,,,,,,
18,,,,,,r( Z1 -> drei ),,,,,,s75,r( Z1 -> drei ),r( Z1 -> drei ),,s74,,,,,r( Z1 -> drei ),,,,,,,,,,,,,,,,
19,,,,,,r( Z1 -> sechs ),,,,,,,r( Z1 -> sechs ),r( Z1 -> sechs ),,,,,,,r( Z1 -> sechs ),,,,,,,,,,,,,,,,
20,,,,,,r( Z1 -> sieben ),,,,,,,r( Z1 -> sieben ),r( Z1 -> sieben ),,,,,,,r( Z1 -> sieben ),,,,,,,,,,,,,,,,
21,,,,,,r( Z1 -> Z34 ),,,,,,,r( Z1 -> Z34 ),r( Z1 -> Z34 ),,s76,s77,,,,r( Z1 -> Z34 ),,,,,,,,,,,,,,,,
22,,,,,,r( Z2 -> zehn ),,,,,,,r( Z2 -> zehn ),,,,,,,,r( Z2 -> zehn ),,,,,,,,,,,,,,,,
23,,,,,,r( Z2 -> elf ),,,,,,,r( Z2 -> elf ),,,,,,,,r( Z2 -> elf ),,,,,,,,,,,,,,,,
24,,,,,,r( Z2 -> zwölf ),,,,,,,r( Z2 -> zwölf ),,,,,,,,r( Z2 -> zwölf ),,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,r( ZS -> sech ),r( ZS -> sech ),,,,r( ZS -> sech ),,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,r( ZS -> sieb ),r( ZS -> sieb ),,,,r( ZS -> sieb ),,,,,,,,,,,,,,,,
27,r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),,r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),,r( Z5 -> hundert ),,r( Z5 -> hundert ),r( Z5 -> hundert ),,r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),r( Z5 -> hundert ),,,,,,,,,,,,,,,,
28,r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),,,,r( Z6 -> tausend ),r( Z6 -> tausend ),,r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),r( Z6 -> tausend ),,,,,,,,,,,,,,,,
29,s32,s18,s16,s23,s31,,s33,s25,s19,s26,s20,,,,s30,s22,,s47,s17,s24,,,78,79,21,46,,,80,81,,,,,,,48
30,,,,,,r( Z34 -> vier ),,,,,,,r( Z34 -> vier ),r( Z34 -> vier ),,r( Z34 -> vier ),r( Z34 -> vier ),,,,r( Z34 -> vier ),,,,,,,,,,,,,,,,
31,,,,,,r( Z34 -> fünf ),,,,,,,r( Z34 -> fünf ),r( Z34 -> fünf ),,r( Z34 -> fünf ),r( Z34 -> fünf ),,,,r( Z34 -> fünf ),,,,,,,,,,,,,,,,
32,,,,,,r( Z34 -> acht ),,,,,,,r( Z34 -> acht ),r( Z34 -> acht ),,r( Z34 -> acht ),r( Z34 -> acht ),,,,r( Z34 -> acht ),,,,,,,,,,,,,,,,
33,,,,,,r( Z34 -> neun ),,,,,,,r( Z34 -> neun ),r( Z34 -> neun ),,r( Z34 -> neun ),r( Z34 -> neun ),,,,r( Z34 -> neun ),,,,,,,,,,,,,,,,
34,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),r( Z9 -> Z1 Z5 ),,,,,,,,,,,,,,,,
35,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),,,,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),,,,,,,,,,,,,,,,
36,r( U -> Z1 und ),r( U -> Z1 und ),,,r( U -> Z1 und ),,r( U -> Z1 und ),r( U -> Z1 und ),,r( U -> Z1 und ),,,,,r( U -> Z1 und ),,,r( U -> Z1 und ),,,r( U -> Z1 und ),,,,,,,,,,,,,,,,
37,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),,,,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),,,,,,,,,,,,,,,,
38,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,,,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,r( Z7 -> zwan zig ),,,,,,,,r( Z7 -> zwan zig ),,,,,,,,,,,,,,,,
40,,,,,,r( Z2 -> ZS zehn ),,,,,,,r( Z2 -> ZS zehn,,,,,,,,r( Z2 -> ZS zehn ),,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,r( Z7 -> ZS zig ),,,,,,,,r( Z7 -> ZS zig ),,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,r( Z11 -> Z5 Z1 ),s36,,,,,,,r( Z11 -> Z5 Z1 ),,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,r( Z11 -> Z5 Z2 ),,,,,,,,r( Z11 -> Z5 Z2 ),,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,r( Z11 -> Z5 Z7 ),,,,,,,,r( Z11 -> Z5 Z7 ),,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,r( Z11 -> Z5 Z8 ),,,,,,,,r( Z11 -> Z5 Z8 ),,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,s40,s41,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,s39,,,,,,,,,,,,,,,,,,,,
48,s32,s73,,,s31,,s33,s25,,s26,,,,,s30,,,s47,,,,,,,71,72,,,70,,,,,,,,
49,,,,,,s27,,,,,,,,s36,,,,,,,r( Z14 -> Z6 Z1 ),,,,,,34,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z2 ),,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z7 ),,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z8 ),,,,,,,,,,,,,,,,
53,s32,s18,s16,s23,s31,,s33,s25,s19,s26,s20,,,,s30,s22,,s47,s17,s24,r( Z14 -> Z6 Z9 ),,58,59,21,46,,,60,61,,,,,,,48
54,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z6 Z11 ),,,,,,,,,,,,,,,,
55,s32,s18,s16,s23,s31,,s33,s25,s19,s26,s20,,,,s30,s22,,s47,s17,s24,,,42,43,21,46,,,44,45,,,,,,,48
56,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),,,,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),,,,,,,,,,,,,,,,
57,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),,,,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,r( Z11 -> Z9 Z1 ),s36,,,,,,,r( Z11 -> Z9 Z1 ),,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,r( Z11 -> Z9 Z2 ),,,,,,,,r( Z11 -> Z9 Z2 ),,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,r( Z11 -> Z9 Z7 ),,,,,,,,r( Z11 -> Z9 Z7 ),,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,r( Z11 -> Z9 Z8 ),,,,,,,,r( Z11 -> Z9 Z8 ),,,,,,,,,,,,,,,,
62,r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),,,,r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),,r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),r( Z13 -> Z9 Z6 ),,,,,,,,,,,,,,,,
63,r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),,,,r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),,r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),r( Z13 -> Z11 Z6 ),,,,,,,,,,,,,,,,
64,,,,,,s27,,,,,,,,s36,,,,,,,r( Z14 -> Z13 Z1 ),,,,,,34,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z13 Z2 ),,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z13 Z7 ),,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z13 Z8 ),,,,,,,,,,,,,,,,
68,s32,s18,s16,s23,s31,,s33,s25,s19,s26,s20,,,,s30,s22,,s47,s17,s24,r( Z14 -> Z13 Z9 ),,58,59,21,46,,,60,61,,,,,,,48
69,,,,,,,,,,,,,,,,,,,,,r( Z14 -> Z13 Z11 ),,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,r( Z8 -> U Z7 ),,,,,,,,r( Z8 -> U Z7 ),,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,r( Z2 -> drei zehn ),,,,,,,r( Z2 -> drei zehn ),,,,,,,,r( Z2 -> drei zehn ),,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,r( Z7 -> drei ssig ),,,,,,,,r( Z7 -> drei ssig ),,,,,,,,,,,,,,,,
76,,,,,,r( Z2 -> Z34 zehn ),,,,,,,r( Z2 -> Z34 zehn ),,,,,,,,r( Z2 -> Z34 zehn ),,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,r( Z7 -> Z34 zig ),,,,,,,,r( Z7 -> Z34 zig ),,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,s36,,,,,,,r( Z12 -> Z10 Z1 ),,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,r( Z12 -> Z10 Z2 ),,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,r( Z12 -> Z10 Z7 ),,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,r( Z12 -> Z10 Z8 ),,,,,,,,,,,,,,,,