,ACTIONS,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,
ESTADOS,A,Ac1,Ac2,Ac3,Ac4,C1,C2,C3,C4,N1,N2,N3,N4,N5,Sh1,Sh2,Sh3,Sh4,Sh5,Sv1,Sv2,Sv3,Sv4,Sv5,$,S,SH1,SH2,SH3,SH4,SH5,SV1,SV2,SV3,SV4,SV5,n1,n2,n3,n4,n5,AC1,AC2,AC3,AC4,c1,c2,c3,c4
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,s3,s4,s5,s6,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,s12,s13,s14,,,,,8,,,,,9,10,11,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,s12,s13,,,,,,,15,,,,16,17,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,s12,s13,s14,,,,,,,18,,,19,20,21,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,s14,s26,s27,,,,,,22,,,,23,24,25,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,s14,,s27,,,,,,,28,,,29,,30,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,r( S -> A Sh1 SH1 ),,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,r( SH1 -> SV1 ),,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,r( SH1 -> SV2 ),,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,r( SH1 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,s34,s35,s36,,,,,,,,,,,,,,,,,,,,,,,,,31,32,33,,,,,,,,,,
13,,,,,,,,,,s34,s35,s36,,,,,,,,,,,,,,,,,,,,,,,,,37,38,39,,,,,,,,,,
14,,,,,,,,,,,,,s42,s43,,,,,,,,,,,,,,,,,,,,,,,,,,40,41,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,r( S -> A Sh2 SH2 ),,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,r( SH2 -> SV1 ),,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,r( SH2 -> SV2 ),,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,r( S -> A Sh3 SH3 ),,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,r( SH3 -> SV1 ),,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,r( SH3 -> SV2 ),,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,r( SH3 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,r( S -> A Sh4 SH4 ),,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,r( SH4 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,r( SH4 -> SV4 ),,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,r( SH4 -> SV5 ),,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,s42,s43,,,,,,,,,,,,,,,,,,,,,,,,,,44,45,,,,,,,,
27,,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,r( S -> A Sh5 SH5 ),,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,r( SH5 -> SV3 ),,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,r( SH5 -> SV5 ),,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,r( SV1 -> Sv1 n1 ),,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,r( SV1 -> Sv1 n2 ),,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,r( SV1 -> Sv1 n3 ),,,,,,,,,,,,,,,,,,,,,,,,
34,,s49,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,48,,,,,,
35,,s49,s50,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,52,53,,,,,
36,,,s50,s54,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,56,57,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,r( SV2 -> Sv2 n1 ),,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,r( SV2 -> Sv2 n2 ),,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,r( SV2 -> Sv2 n3 ),,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,r( SV3 -> Sv3 n4 ),,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,r( SV3 -> Sv3 n5 ),,,,,,,,,,,,,,,,,,,,,,,,
42,,,s50,s54,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,60,61,,,,
43,,,,,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,r( SV4 -> Sv4 n4 ),,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,r( SV4 -> Sv4 n5 ),,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,r( SV5 -> Sv5 n5 ),,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,r( n1 -> N1 AC1 ),,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,r( n1 -> N1 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,64,65,
50,,,,,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,70,71,
51,,,,,,,,,,,,,,,,,,,,,,,,,r( n2 -> N2 AC1 ),,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,r( n2 -> N2 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,r( n2 -> N2 AC3 ),,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,73,74,
55,,,,,,,,,,,,,,,,,,,,,,,,,r( n3 -> N3 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,r( n3 -> N3 AC3 ),,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,r( n3 -> N3 AC4 ),,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
59,,,,,,,,,,,,,,,,,,,,,,,,,r( n4 -> N4 AC2 ),,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,r( n4 -> N4 AC3 ),,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,r( n4 -> N4 AC4 ),,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,r( n5 -> N5 AC4 ),,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,r( AC1 -> Ac1 c1 ),,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,r( AC1 -> Ac1 c2 ),,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,r( AC1 -> Ac1 c3 ),,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,
67,,,,,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
68,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,r( AC2 -> Ac2 c1 ),,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,r( AC2 -> Ac2 c2 ),,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,r( AC2 -> Ac2 c3 ),,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,r( AC3 -> Ac3 c1 ),,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,r( AC3 -> Ac3 c2 ),,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,r( AC3 -> Ac3 c3 ),,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,r( AC4 -> Ac4 c4 ),,,,,,,,,,,,,,,,,,,,,,,,
76,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,r( c1 -> C1 c2 ),,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,r( c2 -> C2 c4 ),,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,r( c3 -> C3 A ),,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,r( c4 -> C4 A ),,,,,,,,,,,,,,,,,,,,,,,,